顆,颗
懇,恳
獪,狯
壙,圹
虧,亏
闊,阔
濶,阔
欄,栏
闌,阑
癆,痨
縲,缧
纝,缧
嶸,嵘
縮,缩
勵,励
隸,隶
隷,隶
蓮,莲
聯,联
褳,裢
斂,敛
歛,敛
殮,殓
鏈,链
魎,魉
療,疗
臨,临
燐,磷
粦,磷
嶺,岭
蔞,蒌
耬,耧
螻,蝼
簍,篓
縷,缕
蠃,螺
縵,缦
鎇,镅
鎂,镁
彌,弥
謎,谜
蘪,糜
繆,缪
蔦,茑
嚀,咛
濃,浓
縹,缥
嬪,嫔
謙,谦
蹌,跄
磽,硗
墝,硗
鍬,锹
鍥,锲
闃,阒
閴,阒
賽,赛
糝,糁
糂,糁
繅,缫
繰,缫
聲,声
謚,谥
諡,谥
鍶,锶
聳,耸
鎪,锼
謖,谡
雖,虽
餳,饧
謄,誊
臋,臀
闈,闱
鮪,鲔
鄔,邬
戲,戏
惪,戏
轄,辖
鎋,辖
舝,辖
鮮,鲜
癇,痫
獫,猃
玁,猃
餡,馅
鄉,乡
薌,芗
鮝,鲞
褻,亵
謝,谢
爕,燮
鱘,鲟
鱏,鲟
遜,逊
壓,压
簷,檐
陽,阳
謡,谣
憶,忆
懌,怿
蔭,荫
應,应
嬰,婴
營,营
擁,拥
優,优
輿,舆
嶼,屿
轅,辕
遠,远
嶽,岳
鄖,郧
獄,狱
擇,择
澤,泽
簀,箦
鍘,铡
斎,斋
亝,斋
氊,毡
氈,毡
輾,辗
鍺,锗
櫛,栉
鷙,鸷
鐘,钟
謅,诌
燭,烛
矚,瞩
賺,赚
樁,桩
總,总
縂,总
縱,纵
鄒,邹
礙,碍
璦,瑷
襖,袄
鎊,镑
斃,毙
飈,飚
濱,滨
檳,槟
擯,摈
殯,殡
襏,袯
鵓,鹁
餺,馎
闔,阖
賻,赙
叢,丛
樷,丛
鎧,铠
蟬,蝉
蕆,蒇
闖,闯
癡,痴
遲,迟
蟲,虫
雛,雏
鶵,雏
礎,础
儲,储
竄,窜
簞,箪
蕩,荡
燾,焘
斷,断
懟,怼
鵝,鹅
鵞,鹅
額,额
頟,额
顎,颚
邇,迩
飜,翻
繙,翻
豐,丰
鎬,镐
擱,搁
鎘,镉
鯁,鲠
骾,鲠
覯,觏
鵠,鹄
歸,归
鯀,鲧
鮌,鲧
環,环
鯇,鲩
鯶,鲩
穢,秽
薉,秽
繢,缋
獲,获
蟣,虮
濟,济
鯽,鲫
鎵,镓
鰹,鲣
瞼,睑
襇,裥
簡,简
